PassengerId,Survived_pred,Survived_prob
892,0,0.07609121110190444
893,0,0.4181694389986852
894,0,0.0964272002599901
895,0,0.09426790797663498
896,1,0.6104842079314776
897,0,0.13509395795413348
898,1,0.5499811362277501
899,0,0.24642504712138105
900,1,0.6400419969970392
901,0,0.11115521288114803
902,0,0.0916501106438141
903,0,0.3490592218950037
904,1,0.933272057272846
905,0,0.09339842689686402
906,1,0.8691617307214452
907,1,0.8178243324072509
908,0,0.1986417839980378
909,0,0.11156822014633176
910,1,0.5730325809707285
911,0,0.4334294686505628
912,0,0.28647769251950667
913,0,0.15460002048670207
914,1,0.9237452932638011
915,1,0.5371920071266002
916,1,0.8596898497195061
917,0,0.04822224879033058
918,1,0.9354938103637925
919,0,0.10700759293884439
920,0,0.38506656155602753
921,0,0.09136755220208738
922,0,0.13391967485001366
923,0,0.2580915434798236
924,1,0.5258990239181394
925,1,0.5644319638643421
926,0,0.46724653200243654
927,0,0.11954686670163006
928,1,0.5653653257756505
929,1,0.6180972157904289
930,0,0.09972052602587518
931,0,0.09065730175520949
932,0,0.06669336185587531
933,0,0.48474655492298424
934,0,0.06298921556636898
935,1,0.7888286808000687
936,1,0.8763346125617331
937,0,0.09975539815813796
938,0,0.35598081856861524
939,0,0.09165310372559055
940,1,0.8151381148412896
941,1,0.5027820605061815
942,1,0.5139139273783562
943,0,0.24130019765686272
944,1,0.8358668472597033
945,1,0.9196290627362157
946,0,0.2356034187024277
947,0,0.14974450874506098
948,0,0.07499928728023297
949,0,0.09976148805496303
950,0,0.09148183078172681
951,1,0.8991276961434153
952,0,0.12454944103398646
953,0,0.21393366721828078
954,0,0.12118695501096186
955,1,0.6107517036761719
956,1,0.5864678936898662
957,1,0.7987310621985958
958,1,0.6400050693249295
959,0,0.34108589286387
960,0,0.46126871413906917
961,1,0.8080996140331114
962,1,0.595799063976626
963,0,0.11155182564309585
964,1,0.5576818735939022
965,0,0.48077440591709225
966,1,0.9030298587623647
967,0,0.4385106264254235
968,0,0.09164694521673503
969,1,0.8392168637506062
970,0,0.22464905407822272
971,1,0.595799063976626
972,0,0.1668341115969033
973,0,0.20958200925764112
974,0,0.3280781056319841
975,0,0.0916501106438141
976,0,0.23581979811918946
977,0,0.09151556619582676
978,1,0.5730353441412879
979,1,0.6399953655939499
980,1,0.5653835035712617
981,0,0.4093665934403126
982,1,0.6103896524256143
983,0,0.09165259050230802
984,1,0.9255723780141143
985,0,0.09164694521673503
986,1,0.5082033219203533
987,0,0.09975825926122113
988,1,0.7277651572906959
989,0,0.08908193088201667
990,1,0.6254899816479949
991,0,0.0794474443165328
992,1,0.8828739880803838
993,0,0.240805467767576
994,0,0.09165310372559055
995,0,0.09698821540186955
996,1,0.6542343757919907
997,0,0.09135023891935905
998,0,0.11155365855539953
999,0,0.09165310372559055
1000,0,0.09163334649437258
1001,0,0.29327271575348035
1002,0,0.1703856806484201
1003,1,0.5653817342735462
1004,1,0.9041712502250189
1005,1,0.636432687526065
1006,1,0.7948089161124874
1007,0,0.12101100233930862
1008,0,0.09168005157691729
1009,1,0.7510561893852674
1010,0,0.4199590194382375
1011,1,0.7934604172277056
1012,1,0.8675515339108065
1013,0,0.09165310372559055
1014,1,0.9062993995396282
1015,0,0.09166336873387176
1016,0,0.09165310372559055
1017,1,0.646707273541885
1018,0,0.10849565864624915
1019,1,0.5644440883894982
1020,0,0.1660852939662012
1021,0,0.10259312958593327
1022,0,0.08176225797019254
1023,0,0.3010173601082412
1024,1,0.5643097019114964
1025,0,0.09168005157691729
1026,0,0.059400314865453455
1027,0,0.10259757484636961
1028,0,0.09564060367148237
1029,0,0.24715843537630283
1030,1,0.6032810667731136
1031,0,0.06427669642932062
1032,1,0.6933156576461728
1033,1,0.909587683326149
1034,0,0.2404835133482971
1035,0,0.23514095813447933
1036,0,0.3779257792091229
1037,0,0.0839494784169204
1038,0,0.4831877332274384
1039,0,0.10848959590221278
1040,0,0.48474655492298424
1041,0,0.22409118633835093
1042,1,0.9332583643566602
1043,0,0.0916501106438141
1044,0,0.03521285108115963
1045,1,0.5030111744148791
1046,0,0.13813376575363995
1047,0,0.10260448145761765
1048,1,0.9180576668098355
1049,1,0.6032926220848576
1050,0,0.3779257792091229
1051,1,0.5803061068368046
1052,1,0.5653845154633844
1053,0,0.1625371151697167
1054,1,0.8088735316767202
1055,0,0.09166850162562139
1056,0,0.17045700096130054
1057,1,0.5798105618722266
1058,0,0.3336565751404605
1059,0,0.12048947754241243
1060,1,0.9238140914324446
1061,1,0.6106791566172086
1062,0,0.09165720960487159
1063,0,0.09429817728235786
1064,0,0.1053689748639228
1065,0,0.09166379578060976
1066,0,0.0645071456412727
1067,1,0.8557011661406315
1068,1,0.8354011549553414
1069,0,0.29310749484810383
1070,1,0.7547376079133801
1071,1,0.7952886630364521
1072,0,0.22464905407822272
1073,0,0.41189633666110476
1074,1,0.9427543416624662
1075,0,0.09165310372559055
1076,1,0.9221821908237904
1077,0,0.17481290476397696
1078,1,0.8316052183135894
1079,0,0.12454529512176847
1080,1,0.5616352336202459
1081,0,0.17491964303403065
1082,0,0.20311580879110178
1083,0,0.48478042902135
1084,0,0.14432083473862456
1085,0,0.09912479589155355
1086,0,0.3643915655581015
1087,0,0.07945097548588678
1088,1,0.6455600723129958
1089,1,0.6400109892263851
1090,0,0.2651256950612477
1091,1,0.5653615387127694
1092,1,0.5649138542490448
1093,0,0.19295755209575616
1094,0,0.33090203902552745
1095,1,0.880996932973866
1096,0,0.25313320655167304
1097,0,0.48479633757800533
1098,1,0.5110921322120211
1099,0,0.25908432872103154
1100,1,0.9120675742518574
1101,0,0.09975604477876872
1102,0,0.0814946821869961
1103,0,0.09166747502659824
1104,0,0.29993577749862665
1105,1,0.5932797677253094
1106,0,0.48766658136344126
1107,0,0.37700157294922926
1108,1,0.5653756750221736
1109,0,0.26873793722944256
1110,1,0.85355822703925
1111,0,0.09164694521673503
1112,1,0.788793423276334
1113,0,0.11154805725813202
1114,1,0.8275551240679092
1115,0,0.1115542695320197
1116,1,0.8474135797220621
1117,1,0.5649292605997849
1118,0,0.10551094988858749
1119,1,0.5653835035712617
1120,0,0.0638105022333449
1121,0,0.19369099139761925
1122,0,0.3204304379564841
1123,1,0.9378644692193517
1124,0,0.11158604434870274
1125,0,0.09165045141549526
1126,0,0.3975512205199555
1127,0,0.11468655130664294
1128,0,0.23190218788549688
1129,0,0.11470230537601489
1130,1,0.8445832030903234
1131,1,0.8642645858537354
1132,1,0.8391496156596917
1133,1,0.6995426209112303
1134,0,0.35007856614142496
1135,0,0.09165028102951228
1136,0,0.09133130781375554
1137,0,0.3838199801264145
1138,1,0.8271853186399337
1139,0,0.16542039085735766
1140,1,0.7934604172277056
1141,1,0.5649772364574173
1142,1,0.9022639660371865
1143,0,0.11468477871616166
1144,0,0.4857598703876104
1145,0,0.1025641873478316
1146,0,0.08057077863429302
1147,0,0.09165720960487159
1148,0,0.09165310372559055
1149,0,0.09164694521673503
1150,1,0.8404385813603406
1151,0,0.11155477786679768
1152,0,0.07165661848397503
1153,0,0.1115528422952011
1154,1,0.793581623207755
1155,1,0.7512643708531856
1156,0,0.22466032886883144
1157,0,0.0916501106438141
1158,0,0.4863819041231779
1159,0,0.09165720960487159
1160,1,0.5653653257756505
1161,0,0.1245288282541407
1162,0,0.3463053635642104
1163,0,0.09165310372559055
1164,1,0.9262810360471186
1165,1,0.5649138542490448
1166,0,0.09166388201141816
1167,1,0.8357653320568494
1168,0,0.2358290544683796
1169,0,0.1744574812861477
1170,0,0.22430563418693883
1171,0,0.2712563597351472
1172,1,0.6032449187949217
1173,0,0.1909464958165548
1174,1,0.5653835035712617
1175,1,0.7015541612812883
1176,1,0.7450054474071973
1177,0,0.0728715088257638
1178,0,0.09166336873387176
1179,1,0.5125422245518677
1180,0,0.09166379578060976
1181,0,0.09164694521673503
1182,0,0.4839428567570382
1183,1,0.5500225878064133
1184,0,0.09166379578060976
1185,0,0.2982562314071688
1186,0,0.07283403346594969
1187,0,0.09698560659079969
1188,1,0.9017416387766269
1189,0,0.09136755220208738
1190,0,0.4679985350876733
1191,0,0.08908334756877213
1192,0,0.08176734918649436
1193,0,0.23562710716960605
1194,0,0.161536474457453
1195,0,0.10257922505906657
1196,1,0.5653835035712617
1197,1,0.7975518574740076
1198,0,0.4614935171243468
1199,0,0.19072909298083154
1200,0,0.2847619991629998
1201,0,0.43301270631415345
1202,0,0.12116299335960158
1203,0,0.10850927347680593
1204,0,0.09165669636091765
1205,0,0.49547518777326355
1206,1,0.8355254079533633
1207,1,0.6471785042424798
1208,0,0.26962788274377725
1209,0,0.2901729279598076
1210,0,0.09428492720424257
1211,0,0.2702339442125662
1212,0,0.09698821540186955
1213,0,0.09977080734429986
1214,0,0.24715843537630283
1215,0,0.4459071315529332
1216,1,0.8915276814488751
1217,0,0.10552830770014392
1218,1,0.8668913748004814
1219,0,0.34608443789102866
1220,0,0.22956940372635712
1221,0,0.27735168667772225
1222,1,0.6791227035679629
1223,0,0.4000096250533413
1224,0,0.09166388201141816
1225,1,0.632326274367699
1226,0,0.09428405122480839
1227,0,0.46919589978892656
1228,0,0.21395440165181376
1229,0,0.06678839559754168
1230,0,0.2521554645057291
1231,0,0.09166379578060976
1232,0,0.29664897480128777
1233,0,0.08177097430851027
1234,0,0.09039228282105476
1235,1,0.8082537803539531
1236,0,0.0915146272415218
1237,1,0.6542827193014995
1238,0,0.24715843537630283
1239,0,0.48770020761469585
1240,0,0.25894235031732343
1241,1,0.7832434876372911
1242,1,0.8760456040502554
1243,0,0.25313320655167304
1244,0,0.29341791088700603
1245,0,0.13644728906218467
1246,1,0.7556958640140833
1247,0,0.32122929895914476
1248,1,0.8207011072037578
1249,0,0.09165045141549526
1250,0,0.09165310372559055
1251,1,0.5494976786830496
1252,0,0.13157038896086565
1253,1,0.8174830280138224
1254,1,0.7832434876372911
1255,0,0.09426790797663498
1256,1,0.9297079679962836
1257,1,0.5616352336202459
